"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                    Public sector procurement and innovation in the enterprises by NACE Rev. 2 activity and size class"	"inn_cis9_proc"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    Intellectual property rights and licensing in the enterprises by NACE Rev. 2 activity and size class"	"inn_cis9_ipr"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    Importance of the reasons to not innovate and of the barriers to innovation in the enterprises by NACE Rev. 2 activity and size class"	"inn_cis9_noin"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    Environmental benefits due to innovation in the enterprises by NACE Rev. 2 activity and size class"	"inn_cis9_env"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    Importance of the drivers to introduce innovations with environmental benefits and procedures to reduce environmental impacts in the enterprises, by NACE Rev. 2 activity and size class"	"inn_cis9_ecodr"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"            High-tech industry and knowledge-intensive services"	"htec"	"folder"	" "	" "	" "	" "	
"                Economic data on high-tech industry and knowledge-intensive services (HTEC)"	"htec_eco"	"folder"	" "	" "	" "	" "	
"                    Venture capital investments in HTEC sectors "	"htec_vci"	"folder"	" "	" "	" "	" "	
"                        Venture capital investment by detailed stage of development (from 2007, source: EVCA)"	"htec_vci_stage2"	"dataset"	"20.05.2016"	"19.05.2016"	"2007"	"2015"	
"                        Venture capital investment by aggregated stage of development (1989-2006, source: EVCA)"	"htec_vci_stage1"	"dataset"	"12.04.2013"	"05.01.2016"	"1989"	"2006"	
"                    Business statistics in HTEC sectors "	"htec_eco_bs"	"folder"	" "	" "	" "	" "	
"                        Enterprises in high-tech sectors by NACE Rev.2 activity "	"htec_eco_ent2"	"dataset"	"11.10.2016"	"11.10.2016"	"2008"	"2014"	
"                        Enterprises in high-tech sectors by NACE Rev.1.1 activity "	"htec_eco_ent"	"dataset"	"16.07.2015"	" "	"1995"	"2007"	
"                        Economic data in high-tech sectors by NACE Rev.2 activity"	"htec_eco_sbs2"	"dataset"	"11.10.2016"	"11.10.2016"	"2008"	"2014"	
"                        Economic data in high-tech sectors by NACE Rev.1.1 activity"	"htec_eco_sbs"	"dataset"	"16.07.2015"	" "	"1995"	"2007"	
"                    Trade in HTEC sectors "	"htec_eco_trd"	"folder"	" "	" "	" "	" "	
"                        Total high-tech trade in million euro and as a percentage of total (from 2007, SITC Rev. 4)"	"htec_trd_tot4"	"dataset"	"17.05.2016"	"17.05.2016"	"2007"	"2015"	
"                        High-tech trade by high-tech group of products in million euro (from 2007, SITC Rev. 4)"	"htec_trd_group4"	"dataset"	"17.05.2016"	"17.05.2016"	"2007"	"2015"	
"                        High-tech exports - Exports of high technology products as a share of total exports (from 2007, SITC Rev. 4)"	"htec_si_exp4"	"dataset"	"17.05.2016"	"17.05.2016"	"2007"	"2015"	
"                Employment in high-tech industry and knowledge-intensive services (HTEC)"	"htec_emp"	"folder"	" "	" "	" "	" "	
"                    Employment in HTEC sectors at national level "	"htec_emp_n"	"folder"	" "	" "	" "	" "	
"                        Employment statistics on high-tech industries and Knowledge Intensive Services at the national level (from 2008 onwards, NACE Rev. 2)"	"htec_emp_sbs2"	"dataset"	"29.10.2015"	"23.12.2014"	"2008"	"2013"	
"                        Employment statistics on high-tech industries and Knowledge Intensive Services at the national level (1995-2007, NACE Rev. 1.1)"	"htec_emp_sbs"	"dataset"	"18.02.2010"	"06.03.2012"	"1995"	"2007"	
"                        Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)"	"htec_emp_nat2"	"dataset"	"05.07.2017"	"25.04.2017"	"2008"	"2016"	
"                        Employment in technology and knowledge-intensive sectors at the national level, by sex (1994-2008, NACE Rev. 1.1)"	"htec_emp_nat"	"dataset"	"19.01.2017"	"30.11.2016"	"1994"	"2008"	
"                        Employment in technology and knowledge-intensive sectors at the national level, by type of occupation (from 2008 onwards, NACE Rev. 2)"	"htec_emp_nisco2"	"dataset"	"05.07.2017"	"25.04.2017"	"2008"	"2016"	
"                        Employment in technology and knowledge-intensive sectors at the national level, by type of occupation (1994-2008, NACE Rev. 1.1)"	"htec_emp_nisco"	"dataset"	"19.01.2017"	"30.11.2016"	"1994"	"2008"	
"                        Employment in technology and knowledge-intensive sectors at the national level, by level of education (from 2008 onwards, NACE Rev. 2)"	"htec_emp_nisced2"	"dataset"	"05.07.2017"	"25.04.2017"	"2008"	"2016"	
"                        Employment in technology and knowledge-intensive sectors at the national level, by level of education (1994-2008, NACE Rev. 1.1)"	"htec_emp_nisced"	"dataset"	"19.01.2017"	"30.11.2016"	"1994"	"2008"	
"                        Employed HRST by category, age and NACE Rev. 2 activity (from 2008 onwards)  "	"hrst_st_nsec2"	"dataset"	"05.07.2017"	"25.04.2017"	"2008"	"2016"	
"                        Employed HRST by category, age and NACE Rev. 1.1 activity (1994-2007)    "	"hrst_st_nsec"	"dataset"	"19.01.2017"	"28.11.2016"	"1994"	"2008"	
"                        Employed HRST by category, sex, age and NACE Rev. 2 activity (from 2008 onwards)  "	"hrst_st_nsecsex2"	"dataset"	"05.07.2017"	"25.04.2017"	"2008"	"2016"	
"                        Employed HRST by category, sex, age and NACE Rev. 1.1 activity (1994-2007)  "	"hrst_st_nsecsex"	"dataset"	"19.01.2017"	"28.11.2016"	"1994"	"2008"	
"                    Employment in HTEC sectors at regional level "	"htec_emp_r"	"folder"	" "	" "	" "	" "	
"                        Employment in technology and knowledge-intensive sectors by NUTS 2 regions and sex (from 2008 onwards, NACE Rev. 2)"	"htec_emp_reg2"	"dataset"	"05.07.2017"	"27.04.2017"	"2008"	"2016"	
"                        Employment in technology and knowledge-intensive sectors by NUTS 2 regions and sex (1994-2008, NACE Rev. 1.1)"	"htec_emp_reg"	"dataset"	"27.04.2017"	"27.04.2017"	"1999"	"2008"	
"                        Employment in technology and knowledge-intensive sectors by NUTS 1 regions and type of occupation (from 2008 onwards, NACE Rev. 2)"	"htec_emp_risco2"	"dataset"	"05.07.2017"	"27.04.2017"	"2008"	"2016"	
"                        Employment in technology and knowledge-intensive sectors by NUTS 1 regions and type of occupation (1994-2008, NACE Rev. 1.1)"	"htec_emp_risco"	"dataset"	"27.04.2017"	"27.04.2017"	"1999"	"2008"	
"                        Employment in technology and knowledge-intensive sectors by NUTS 1 regions and level of education (from 2008 onwards, NACE Rev. 2)"	"htec_emp_risced2"	"dataset"	"05.07.2017"	"27.04.2017"	"2008"	"2016"	
"                        Employment in technology and knowledge-intensive sectors by NUTS 1 regions and level of education (1994-2008, NACE Rev. 1.1)"	"htec_emp_risced"	"dataset"	"27.04.2017"	"27.04.2017"	"1999"	"2008"	
"                        Employed HRST by category, NACE Rev. 2 activity and NUTS 1 regions (from 2008 onwards)    "	"hrst_st_rsec2"	"dataset"	"05.07.2017"	"27.04.2017"	"2008"	"2016"	
"                        Employed HRST by category, NACE Rev. 1.1 activity and NUTS 1 regions (1994 - 2007)   "	"hrst_st_rsec"	"dataset"	"27.04.2017"	"27.04.2017"	"1999"	"2008"	
"                Knowledge intensive activities"	"htec_kia"	"folder"	" "	" "	" "	" "	
"                    Annual data on employment in knowledge-intensive activities at the national level, by sex (from 2008 onwards, NACE Rev. 2)"	"htec_kia_emp2"	"dataset"	"05.07.2017"	"25.04.2017"	"2008"	"2016"	
"                    Annual data on employment in knowledge-intensive activities at the national level, by sex (until 2008, NACE Rev. 1.1)"	"htec_kia_emp"	"dataset"	"30.11.2016"	"28.11.2016"	"2000"	"2008"	
"                Science and technology in high-tech industry and knowledge-intensive services (HTEC)"	"htec_sti"	"folder"	" "	" "	" "	" "	
"                    Research and development (R&D) in HTEC sectors "	"htec_sti_rd"	"folder"	" "	" "	" "	" "	
"                        Business enterprise R&D expenditure in high-tech sectors - NACE Rev. 2"	"htec_sti_exp2"	"dataset"	"06.01.2017"	"06.01.2017"	"2005"	"2015"	
"                        Business enterprise R&D expenditure in high-tech sectors - NACE Rev. 1.1"	"htec_sti_exp"	"dataset"	"12.04.2013"	"26.06.2013"	"1993"	"2009"	
"                        Business enterprise R&D personnel in high-tech sectors - NACE Rev. 2"	"htec_sti_pers2"	"dataset"	"06.01.2017"	"06.03.2017"	"2005"	"2015"	
"                        Business enterprise R&D personnel in high-tech sectors - NACE Rev. 1.1"	"htec_sti_pers"	"dataset"	"12.04.2013"	"06.03.2017"	"1993"	"2009"	
"                    Innovation in HTEC sectors "	"htec_sti_cis"	"folder"	" "	" "	" "	" "	
"                        Innovation in high-tech sectors (CIS 2008, CIS 2010, CIS 2012), EU Member States and selected countries"	"htec_cis6"	"dataset"	"15.05.2015"	"23.12.2014"	"2008"	"2012"	
"                        Innovation in high-tech sectors (CIS 2006), EU Member States and selected countries"	"htec_cis5"	"dataset"	"07.10.2013"	"15.10.2014"	"2006"	"2006"	
"                        Innovation in high-tech sectors (CIS 2004), EU Member States and selected countries"	"htec_cis4"	"dataset"	"08.10.2013"	"15.10.2014"	"2004"	"2004"	
"                        Innovation in high-tech sectors in SMEs (CIS3), EU Member States and selected countries"	"htec_cis3"	"dataset"	"12.04.2013"	"15.07.2015"	"2000"	"2001"	
"                        Results of the first community innovation light survey 2002/2003 (CIS light)"	"inn_cisl"	"dataset"	"27.03.2009"	"10.10.2014"	"2002"	"2003"	
"                    Patents in HTEC sectors "	"htec_sti_pat"	"folder"	" "	" "	" "	" "	
"                        High-tech patent applications to the EPO by priority year"	"pat_ep_ntec"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                        High-tech patents granted by the USPTO by priority year"	"pat_us_ntec"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2010"	
"                        Biotechnology patent applications to the EPO by priority year"	"pat_ep_nbio"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                        Biotechnology patents granted by the USPTO by priority year "	"pat_us_nbio"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2010"	
"                        High-tech patent applications to the EPO by priority year by NUTS 3 regions"	"pat_ep_rtec"	"dataset"	"29.04.2016"	"29.04.2016"	"1977"	"2012"	
"            Human Resources in Science & Technology"	"hrst"	"folder"	" "	" "	" "	" "	
"                Stocks of HRST at national and regional levels"	"hrst_st"	"folder"	" "	" "	" "	" "	
"                    Data on HRST at national level"	"hrst_st_nat"	"folder"	" "	" "	" "	" "	
"                        HRST by category, sex and age     "	"hrst_st_ncat"	"dataset"	"05.07.2017"	"25.04.2017"	"1994"	"2016"	
"                        Employed HRST by category, age and occupation    "	"hrst_st_nocc"	"dataset"	"05.07.2017"	"25.04.2017"	"1994"	"2016"	
"                        Employed HRST by category, age and NACE Rev. 1.1 activity (1994-2007)    "	"hrst_st_nsec"	"dataset"	"19.01.2017"	"28.11.2016"	"1994"	"2008"	
"                        Employed HRST by category, age and NACE Rev. 2 activity (from 2008 onwards)  "	"hrst_st_nsec2"	"dataset"	"05.07.2017"	"25.04.2017"	"2008"	"2016"	
"                        Employed HRST by category, sex, age and NACE Rev. 1.1 activity (1994-2007)  "	"hrst_st_nsecsex"	"dataset"	"19.01.2017"	"28.11.2016"	"1994"	"2008"	
"                        Employed HRST by category, sex, age and NACE Rev. 2 activity (from 2008 onwards)  "	"hrst_st_nsecsex2"	"dataset"	"05.07.2017"	"25.04.2017"	"2008"	"2016"	
"                        HRST with tertiary education by sex, age and field of education     "	"hrst_st_nfiesex"	"dataset"	"05.07.2017"	"28.11.2016"	"2003"	"2013"	
"                        HRST with tertiary education by age and field of education   "	"hrst_st_nfieage"	"dataset"	"05.07.2017"	"28.11.2016"	"2003"	"2013"	
"                        Employed HRST with tertiary education by age, field of education and occupation  "	"hrst_st_nfieocc"	"dataset"	"05.07.2017"	"28.11.2016"	"2003"	"2013"	
"                        Unemployed persons by HRST category and sex    "	"hrst_st_nunesex"	"dataset"	"05.07.2017"	"25.04.2017"	"1994"	"2016"	
"                        Unemployed persons by HRST category and age   "	"hrst_st_nuneage"	"dataset"	"05.07.2017"	"25.04.2017"	"1994"	"2016"	
"                    Data on HRST at regional level"	"hrst_st_reg"	"folder"	" "	" "	" "	" "	
"                        HRST by category and NUTS 2 regions     "	"hrst_st_rcat"	"dataset"	"05.07.2017"	"27.04.2017"	"1999"	"2016"	
"                        HRST by category, sex and NUTS 1 regions   "	"hrst_st_rsex"	"dataset"	"05.07.2017"	"27.04.2017"	"1999"	"2016"	
"                        HRST by category, age and NUTS 1 regions    "	"hrst_st_rage"	"dataset"	"05.07.2017"	"27.04.2017"	"1999"	"2016"	
"                        Employed HRST by category, NACE Rev. 1.1 activity and NUTS 1 regions (1994 - 2007)   "	"hrst_st_rsec"	"dataset"	"27.04.2017"	"27.04.2017"	"1999"	"2008"	
"                        Employed HRST by category, NACE Rev. 2 activity and NUTS 1 regions (from 2008 onwards)    "	"hrst_st_rsec2"	"dataset"	"05.07.2017"	"27.04.2017"	"2008"	"2016"	
"                Flows of HRST at national level"	"hrst_fl"	"folder"	" "	" "	" "	" "	
"                    Data on real and potential inflows of HRST into the HRST stocks"	"hrst_fl_te"	"folder"	" "	" "	" "	" "	
"                        Graduation from tertiary education (ISCED 1997) by sex, level and field of education         "	"hrst_fl_tegrad"	"dataset"	"24.11.2014"	"29.06.2016"	"2002"	"2012"	
"                        Participation in tertiary education (ISCED 1997) by sex, level and field of education    "	"hrst_fl_tepart"	"dataset"	"24.11.2014"	"29.06.2016"	"2003"	"2012"	
"                        Participation of foreign students in tertiary education (ISCED 1997) by field of education   "	"hrst_fl_tefor"	"dataset"	"25.11.2014"	"29.06.2016"	"1998"	"2012"	
"                    Data on job-to-job mobility of HRST"	"hrst_fl_mob"	"folder"	" "	" "	" "	" "	
"                        Job-to-job mobility of HRST by sex    "	"hrst_fl_mobsex"	"dataset"	"05.07.2017"	"25.04.2017"	"1996"	"2016"	
"                        Job-to-job mobility of HRST by age     "	"hrst_fl_mobage"	"dataset"	"05.07.2017"	"25.04.2017"	"1996"	"2016"	
"                        Job-to-job mobility of HRST by NACE Rev. 1.1 activity (1996-2008)   "	"hrst_fl_mobsect"	"dataset"	"19.01.2017"	"28.11.2016"	"1996"	"2008"	
"                        Job-to-job mobility of HRST by NACE Rev. 2 activity (from 2008 onwards)  "	"hrst_fl_mobsect2"	"dataset"	"05.07.2017"	"25.04.2017"	"2008"	"2016"	
"            Career Development of Doctorate Holders "	"cdh"	"folder"	" "	" "	" "	" "	
"                Personal characteristics of doctorate holders"	"cdh_char"	"folder"	" "	" "	" "	" "	
"                    Doctorate holders by sex and age group"	"cdh_c_sa"	"dataset"	"11.04.2013"	"02.10.2014"	"2006"	"2009"	
"                    Non-EU doctorate holders in total doctorate holders (%)"	"cdh_c_neu"	"dataset"	"26.01.2012"	" "	"2006"	"2009"	
"                Employment situation of doctorate holders"	"cdh_emp"	"folder"	" "	" "	" "	" "	
"                    Doctorate holders by activity status (%)"	"cdh_e_as"	"dataset"	"26.01.2012"	"26.06.2013"	"2006"	"2009"	
"                    Unemployment rate of doctorate holders by fields of science"	"cdh_e_une"	"dataset"	"26.01.2012"	"26.06.2013"	"2006"	"2009"	
"                    Employed doctorate holders by occupation (ISCO_88, %)"	"cdh_e_occ1"	"dataset"	"11.04.2013"	"26.06.2013"	"2006"	"2009"	
"                    Employed doctorate holders by occupation (ISCO_08, %)"	"cdh_e_occ2"	"dataset"	"11.04.2013"	" "	"2009"	"2009"	
"                    Employed doctorate holders in non managerial and non professional occupations by fields of science (%)"	"cdh_e_fos"	"dataset"	"26.01.2012"	"26.06.2013"	"2006"	"2009"	
"                    Employed doctorate holders working as researchers by sex, fields of science and sectors of performance (%)"	"cdh_e_fsp"	"dataset"	"11.04.2013"	"26.06.2013"	"2006"	"2009"	
"                    Employed doctorate holders by length of stay with the same employer and sectors of performance (%)"	"cdh_e_lgt"	"dataset"	"26.01.2012"	"26.06.2013"	"2006"	"2006"	
"                    Employed doctorate holders working as researchers by length of stay with the same employer (%)"	"cdh_e_rlgt"	"dataset"	"11.04.2013"	"26.06.2013"	"2006"	"2006"	
"                    Employed doctorate holders working as researchers by job mobility and sectors of performance over the last 10 years (%)"	"cdh_e_mob"	"dataset"	"11.04.2013"	"26.06.2013"	"2009"	"2009"	
"                    Level of dissatisfaction of employed doctorate holders by reason and sex (%)"	"cdh_e_diss"	"dataset"	"26.01.2012"	"26.06.2013"	"2006"	"2009"	
"                Doctorate holders inward international mobility"	"cdh_mob"	"folder"	" "	" "	" "	" "	
"                    National doctorate holders having lived or stayed abroad in the past 10 years by previous region of stay (%)"	"cdh_m_reg"	"dataset"	"27.01.2012"	" "	"2006"	"2009"	
"                    Doctorate holders who have studied, worked or carried out research in another EU country (%)"	"cdh_m_eu"	"dataset"	"27.01.2012"	" "	"2006"	"2009"	
"                    National doctorate holders having lived or stayed abroad in the past 10 years by reason for returning into the country (%)"	"cdh_m_mov"	"dataset"	"26.01.2012"	"27.06.2013"	"2006"	"2009"	
"            Intellectual property rights"	"ipr"	"folder"	" "	" "	" "	" "	
"                Patent"	"pat"	"folder"	" "	" "	" "	" "	
"                    Patent applications to the European patent office (EPO) by priority year"	"pat_epo"	"folder"	" "	" "	" "	" "	
"                        Patent applications to the EPO by priority year at the national level"	"pat_epo_nat"	"folder"	" "	" "	" "	" "	
"                            Patent applications to the EPO by priority year"	"pat_ep_ntot"	"dataset"	"09.01.2017"	"09.01.2017"	"1978"	"2014"	
"                            Patent applications to the EPO by priority year by international patent classification (IPC) sections and classes"	"pat_ep_nipc"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                            High-tech patent applications to the EPO by priority year"	"pat_ep_ntec"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                            ICT patent applications to the EPO by priority year"	"pat_ep_nict"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                            Biotechnology patent applications to the EPO by priority year"	"pat_ep_nbio"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                            Nanotechnology patent applications to the EPO by priority year"	"pat_ep_nnano"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                            Radio navigation by satellite patent applications to the EPO by priority year"	"pat_ep_nrns"	"dataset"	"09.01.2017"	"09.01.2017"	"1977"	"2013"	
"                            Energy technologies patent applications to the EPO by priority year"	"pat_ep_nrg"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                            Energy technologies applications under the patent cooperation treaty (PCT),  designated to the EPO by priority year"	"pat_ep_nrgpct"	"dataset"	"09.01.2017"	"07.07.2016"	"1982"	"2013"	
"                            Patent applications to the EPO by priority year by institutional sector"	"pat_ep_nic"	"dataset"	"19.06.2015"	"19.06.2015"	"1977"	"2012"	
"                            Patent applications to the EPO by priority year by NACE Rev. 2 activity"	"pat_ep_nnac2"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                            Patent applications to the EPO by priority year by NACE Rev. 1.1 activity "	"pat_ep_nnac"	"dataset"	"09.07.2015"	"09.07.2015"	"1977"	"2012"	
"                            Patent cooperation treaty (PCT) applications designated to the EPO by priority year by international patent classification (IPC) sections and classes"	"pat_ep_npct"	"dataset"	"09.01.2017"	"07.07.2016"	"1978"	"2013"	
"                            Patent applications to the EPO by priority year, by urban-rural typology"	"urt_pat_eptot"	"dataset"	"23.11.2016"	"13.10.2016"	"1977"	"2012"	
"                            Patent applications to the EPO by priority year, by international patent classification (IPC) sections, classes and urban-rural typology"	"urt_pat_epipc"	"dataset"	"23.11.2016"	"13.10.2016"	"1977"	"2012"	
"                            High-tech patent applications to the EPO by priority year, by urban-rural typology"	"urt_pat_eptec"	"dataset"	"23.11.2016"	"13.10.2016"	"1977"	"2012"	
"                            ICT patent applications to the EPO by priority year, by urban-rural typology"	"urt_pat_epict"	"dataset"	"23.11.2016"	"13.10.2016"	"1977"	"2012"	
"                            Biotechnology patent applications to the EPO by priority year, by urban-rural typology"	"urt_pat_epbio"	"dataset"	"23.11.2016"	"13.10.2016"	"1977"	"2012"	
"                        Patent applications to the EPO by priority year at the regional level"	"pat_epo_reg"	"folder"	" "	" "	" "	" "	
"                            Patent applications to the EPO by priority year by NUTS 3 regions"	"pat_ep_rtot"	"dataset"	"29.04.2016"	"29.04.2016"	"1977"	"2012"	
"                            Patent applications to the EPO by priority year by NUTS 3 regions, international patent classification (IPC) sections and classes"	"pat_ep_ripc"	"dataset"	"29.04.2016"	"29.04.2016"	"1977"	"2012"	
"                            High-tech patent applications to the EPO by priority year by NUTS 3 regions"	"pat_ep_rtec"	"dataset"	"29.04.2016"	"29.04.2016"	"1977"	"2012"	
"                            ICT patent applications to the EPO by priority year by NUTS 3 regions"	"pat_ep_rict"	"dataset"	"29.04.2016"	"29.04.2016"	"1977"	"2012"	
"                            Biotechnology patent applications to the EPO by priority year by NUTS 3 regions"	"pat_ep_rbio"	"dataset"	"29.04.2016"	"29.04.2016"	"1977"	"2012"	
"                            Patent applications to the EPO by priority year, by metropolitan regions"	"met_pat_eptot"	"dataset"	"23.11.2016"	"13.10.2016"	"1977"	"2012"	
"                            Patent applications to the EPO by priority year, by international patent classification (IPC) sections, classes and metropolitan regions"	"met_pat_epipc"	"dataset"	"23.11.2016"	"13.10.2016"	"1977"	"2012"	
"                            High-tech patent applications to the EPO by priority year, by metropolitan regions"	"met_pat_eptec"	"dataset"	"23.11.2016"	"13.10.2016"	"1977"	"2012"	
"                            ICT patent applications to the EPO by priority year, by metropolitan regions"	"met_pat_epict"	"dataset"	"23.11.2016"	"13.10.2016"	"1977"	"2012"	
"                            Biotechnology patent applications to the EPO by priority year, by metropolitan regions"	"met_pat_epbio"	"dataset"	"23.11.2016"	"13.10.2016"	"1977"	"2012"	
"                        Ownership of inventions in EPO applications at national level "	"pat_epo_own"	"folder"	" "	" "	" "	" "	
"                            Foreign ownership of domestic inventions in patent applications to the EPO by priority year"	"pat_ep_nfgn"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                            Domestic ownership of foreign inventions in patent applications to the EPO by priority year"	"pat_ep_ndom"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                            Patent applications to the EPO with foreign co-inventors, by priority year"	"pat_ep_nptn"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2013"	
"                        European and international co-patenting in EPO applications at national and EU level"	"pat_epo_cop"	"folder"	" "	" "	" "	" "	
"                            Co-patenting at the EPO according to applicants'/inventors' country of residence - number"	"pat_ep_cp"	"dataset"	"09.01.2017"	"09.01.2017"	"1977"	"2013"	
"                            Co-patenting at the EPO according to applicants'/inventors' country of residence - % in the total of each EU Member State patents"	"pat_ep_cppc"	"dataset"	"09.01.2017"	" "	"1977"	"2013"	
"                            EU co-patenting at the EPO according to applicants'/ inventors' country of residence by international patent classification (IPC) sections - number"	"pat_ep_ipc"	"dataset"	"09.01.2017"	"09.01.2017"	"1977"	"2013"	
"                            EU co-patenting at the EPO according to applicants'/inventors' country of residence by international patent classification (IPC) sections - % in the total of all EU patents"	"pat_ep_ipcpc"	"dataset"	"09.01.2017"	" "	"1977"	"2013"	
"                            Co-patenting at the EPO: crossing inventors and applicants"	"pat_ep_cpc"	"dataset"	"09.01.2017"	" "	"1977"	"2013"	
"                    Patents granted by the United States patent and trademark office (USPTO) by priority year"	"pat_uspto"	"folder"	" "	" "	" "	" "	
"                        Patents granted by the USPTO by priority year at the national level"	"pat_uspto_nat"	"folder"	" "	" "	" "	" "	
"                            Patents granted by the USPTO by priority year"	"pat_us_ntot"	"dataset"	"09.01.2017"	"09.01.2017"	"1978"	"2011"	
"                            Patents granted by the USPTO by priority year by international patent classification (IPC) sections and classes"	"pat_us_nipc"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2010"	
"                            High-tech patents granted by the USPTO by priority year"	"pat_us_ntec"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2010"	
"                            ICT patents granted by the USPTO by priority year"	"pat_us_nict"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2010"	
"                            Biotechnology patents granted by the USPTO by priority year "	"pat_us_nbio"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2010"	
"                            Radio navigation by satellite patents granted by the USPTO by priority year "	"pat_us_nrns"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2010"	
"                            Patents granted by the USPTO by priority year by institutional sector"	"pat_us_nic"	"dataset"	"19.06.2015"	"19.06.2015"	"1977"	"2009"	
"                            Patents granted by the USPTO by priority year by NACE Rev. 2 activity"	"pat_us_nnac2"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2010"	
"                            Patents granted by the USPTO by priority year by NACE Rev. 1.1 activity "	"pat_us_nnac"	"dataset"	"09.07.2015"	"09.07.2015"	"1977"	"2009"	
"                        Ownership of inventions in USPTO grants at national level "	"pat_uspto_own"	"folder"	" "	" "	" "	" "	
"                            Foreign ownership of domestic inventions in patents granted by the USPTO by priority year "	"pat_us_nfgn"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2010"	
"                            Domestic ownership of foreign inventions in patents granted by the USPTO by priority year "	"pat_us_ndom"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2010"	
"                            Patents granted by the USPTO with foreign co-inventors, by priority year "	"pat_us_nptn"	"dataset"	"09.01.2017"	"07.07.2016"	"1977"	"2010"	
"                        European and international co-patenting in USPTO grants at national and EU level"	"pat_uspto_cop"	"folder"	" "	" "	" "	" "	
"                            Co-patenting at the USPTO according to applicants'/inventors' country of residence - number"	"pat_us_cp"	"dataset"	"09.01.2017"	"09.01.2017"	"1977"	"2010"	
"                            Co-patenting at the USPTO according to applicants'/inventors' country of residence - % in the total of each EU Member State patents"	"pat_us_cppc"	"dataset"	"09.01.2017"	" "	"1977"	"2010"	
"                            EU co-patenting at the USPTO according to applicants'/inventors' country of residence by international patent classification (IPC) sections - number"	"pat_us_ipc"	"dataset"	"09.01.2017"	"09.01.2017"	"1977"	"2010"	
"                            EU co-patenting at the USPTO according to applicants'/inventors' country of residence by international patent classification (IPC) sections - % in the total of all EU patents"	"pat_us_ipcpc"	"dataset"	"09.01.2017"	" "	"1977"	"2010"	
"                            Co-patenting at the USPTO: crossing inventors and applicants"	"pat_us_cpc"	"dataset"	"09.01.2017"	" "	"1977"	"2010"	
"                    Triadic patent families by earliest priority year at the national level"	"pat_triadic"	"folder"	" "	" "	" "	" "	
"                        Triadic patent families by earliest priority year "	"pat_td_ntot"	"dataset"	"09.01.2017"	"09.01.2017"	"1977"	"2012"	
"                European Union trade marks (EUTM)"	"ipr_t"	"folder"	" "	" "	" "	" "	
"                    European Union trade mark (EUTM) applications by receive year"	"ipr_ta"	"folder"	" "	" "	" "	" "	
"                        European Union trade mark (EUTM) applications"	"ipr_ta_tot"	"dataset"	"29.11.2016"	"29.11.2016"	"1996"	"2016"	
"                        European Union trade mark (EUTM) applications by class (Nice classification)"	"ipr_ta_cl"	"dataset"	"29.11.2016"	"29.11.2016"	"1996"	"2016"	
"                        European Union trade mark (EUTM) applications by number of classes"	"ipr_ta_cln"	"dataset"	"29.11.2016"	"29.11.2016"	"1996"	"2016"	
"                        European Union trade mark (EUTM) applications by nature of the trade mark"	"ipr_ta_ntr"	"dataset"	"29.11.2016"	"29.11.2016"	"1996"	"2016"	
"                        European Union trade mark (EUTM) applications by type of the trade mark"	"ipr_ta_typ"	"dataset"	"29.11.2016"	"29.11.2016"	"1996"	"2016"	
"                        European Union trade marks (EUTM) by status of the application"	"ipr_ta_sta"	"dataset"	"29.11.2016"	"29.11.2016"	"1996"	"2016"	
"                        European Union trade mark (EUTM) applications by legal status of the applicant"	"ipr_ta_leg"	"dataset"	"29.11.2016"	"29.11.2016"	"1996"	"2016"	
