y_grad,unit,isco88,geo,year,value
Total,Percentage,Other teaching professionals,Portugal,2006 ,0.53
Total,Percentage,Other teaching professionals,Sweden,2009 ,0
Total,Percentage,Other teaching professionals,Sweden,2006 ,1.1
Total,Percentage,Other teaching professionals,United States,2009 ,0
Total,Percentage,Other teaching professionals,United States,2006 ,0.38
Total,Percentage,Other professionals,Bulgaria,2009 ,23.93
Total,Percentage,Other professionals,Bulgaria,2006 ,28.85
Total,Percentage,Other professionals,Cyprus,2009 ,0
Total,Percentage,Other professionals,Cyprus,2006 ,5.13
Total,Percentage,Other professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Other professionals,Germany (until 1990 former territory of the FRG),2006 ,14.67
Total,Percentage,Other professionals,Denmark,2009 ,0
Total,Percentage,Other professionals,Denmark,2006 ,6.39
Total,Percentage,Other professionals,Estonia,2009 ,0
Total,Percentage,Other professionals,Estonia,2006 ,9.73
Total,Percentage,Other professionals,Croatia,2009 ,8.86
Total,Percentage,Other professionals,Croatia,2006 ,10.02
Total,Percentage,Other professionals,Iceland,2009 ,0
Total,Percentage,Other professionals,Iceland,2006 ,4.98
Total,Percentage,Other professionals,Lithuania,2009 ,0
Total,Percentage,Other professionals,Lithuania,2006 ,11.06
Total,Percentage,Other professionals,Latvia,2009 ,28.41d
Total,Percentage,Other professionals,Latvia,2006 ,23.37d
Total,Percentage,Other professionals,Netherlands,2009 ,0
Total,Percentage,Other professionals,Netherlands,2006 ,14.06
Total,Percentage,Other professionals,Norway,2009 ,0
Total,Percentage,Other professionals,Norway,2006 ,2.91
Total,Percentage,Other professionals,Poland,2009 ,7.68
Total,Percentage,Other professionals,Poland,2006 ,0
Total,Percentage,Other professionals,Portugal,2009 ,0
Total,Percentage,Other professionals,Portugal,2006 ,1.48
Total,Percentage,Other professionals,Sweden,2009 ,0
Total,Percentage,Other professionals,Sweden,2006 ,5.55
Total,Percentage,Other professionals,United States,2009 ,0
Total,Percentage,Other professionals,United States,2006 ,17.19
Total,Percentage,Business professionals,Bulgaria,2009 ,2.22
Total,Percentage,Business professionals,Bulgaria,2006 ,0.85
Total,Percentage,Business professionals,Cyprus,2009 ,0
Total,Percentage,Business professionals,Cyprus,2006 ,1.78
Total,Percentage,Business professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Business professionals,Germany (until 1990 former territory of the FRG),2006 ,3.47
Total,Percentage,Business professionals,Denmark,2009 ,0
Total,Percentage,Business professionals,Denmark,2006 ,1.64
Total,Percentage,Business professionals,Estonia,2009 ,0
Total,Percentage,Business professionals,Estonia,2006 ,1.81u
Total,Percentage,Business professionals,Croatia,2009 ,0.51
Total,Percentage,Business professionals,Croatia,2006 ,0.65
Total,Percentage,Business professionals,Iceland,2009 ,0
Total,Percentage,Business professionals,Iceland,2006 ,0.24
Total,Percentage,Business professionals,Lithuania,2009 ,0
Total,Percentage,Business professionals,Lithuania,2006 ,5.39
Total,Percentage,Business professionals,Latvia,2009 ,3.5
Total,Percentage,Business professionals,Latvia,2006 ,2.01
Total,Percentage,Business professionals,Norway,2009 ,0
Total,Percentage,Business professionals,Norway,2006 ,1.19
Total,Percentage,Business professionals,Poland,2009 ,1.83
Total,Percentage,Business professionals,Poland,2006 ,0
Total,Percentage,Business professionals,Portugal,2009 ,0
Total,Percentage,Business professionals,Portugal,2006 ,0.15
Total,Percentage,Business professionals,Sweden,2009 ,0
Total,Percentage,Business professionals,Sweden,2006 ,1.7
Total,Percentage,Business professionals,United States,2009 ,0
Total,Percentage,Business professionals,United States,2006 ,3.66
Total,Percentage,Legal professionals,Bulgaria,2009 ,0.13
Total,Percentage,Legal professionals,Bulgaria,2006 ,0.3
Total,Percentage,Legal professionals,Cyprus,2009 ,0
Total,Percentage,Legal professionals,Cyprus,2006 ,0.59
Total,Percentage,Legal professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Legal professionals,Germany (until 1990 former territory of the FRG),2006 ,3.75
Total,Percentage,Legal professionals,Denmark,2009 ,0
Total,Percentage,Legal professionals,Denmark,2006 ,0.69
Total,Percentage,Legal professionals,Estonia,2009 ,0
Total,Percentage,Legal professionals,Estonia,2006 ,0.11u
Total,Percentage,Legal professionals,Croatia,2009 ,0.75
Total,Percentage,Legal professionals,Croatia,2006 ,0.56
Total,Percentage,Legal professionals,Lithuania,2009 ,0
Total,Percentage,Legal professionals,Lithuania,2006 ,1.01
Total,Percentage,Legal professionals,Latvia,2009 ,0.36
Total,Percentage,Legal professionals,Latvia,2006 ,0.73
Total,Percentage,Legal professionals,Norway,2009 ,0
Total,Percentage,Legal professionals,Norway,2006 ,0.13
Total,Percentage,Legal professionals,Poland,2009 ,0.6
Total,Percentage,Legal professionals,Poland,2006 ,0
Total,Percentage,Legal professionals,Portugal,2009 ,0
Total,Percentage,Legal professionals,Portugal,2006 ,0.19
Total,Percentage,Legal professionals,Sweden,2009 ,0
Total,Percentage,Legal professionals,Sweden,2006 ,0.22
Total,Percentage,Legal professionals,United States,2009 ,0
Total,Percentage,Legal professionals,United States,2006 ,0.57
Total,Percentage,Archivists, librarians and related information professionals,Bulgaria,2009 ,0.44
Total,Percentage,Archivists, librarians and related information professionals,Bulgaria,2006 ,0.78
Total,Percentage,Archivists, librarians and related information professionals,Cyprus,2009 ,0
Total,Percentage,Archivists, librarians and related information professionals,Cyprus,2006 ,0.39
Total,Percentage,Archivists, librarians and related information professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Archivists, librarians and related information professionals,Germany (until 1990 former territory of the FRG),2006 ,0.63
Total,Percentage,Archivists, librarians and related information professionals,Denmark,2009 ,0
Total,Percentage,Archivists, librarians and related information professionals,Denmark,2006 ,0.68
Total,Percentage,Archivists, librarians and related information professionals,Estonia,2009 ,0
Total,Percentage,Archivists, librarians and related information professionals,Estonia,2006 ,0.29u
Total,Percentage,Archivists, librarians and related information professionals,Croatia,2009 ,0.09
Total,Percentage,Archivists, librarians and related information professionals,Croatia,2006 ,0.42
Total,Percentage,Archivists, librarians and related information professionals,Lithuania,2009 ,0
Total,Percentage,Archivists, librarians and related information professionals,Lithuania,2006 ,0.34
Total,Percentage,Archivists, librarians and related information professionals,Latvia,2009 ,0.13
Total,Percentage,Archivists, librarians and related information professionals,Latvia,2006 ,0.29
Total,Percentage,Archivists, librarians and related information professionals,Norway,2009 ,0
Total,Percentage,Archivists, librarians and related information professionals,Norway,2006 ,0.2
Total,Percentage,Archivists, librarians and related information professionals,Poland,2009 ,0.91
Total,Percentage,Archivists, librarians and related information professionals,Poland,2006 ,0
Total,Percentage,Archivists, librarians and related information professionals,Portugal,2009 ,0
Total,Percentage,Archivists, librarians and related information professionals,Portugal,2006 ,0
Total,Percentage,Archivists, librarians and related information professionals,Sweden,2009 ,0
Total,Percentage,Archivists, librarians and related information professionals,Sweden,2006 ,0.61
Total,Percentage,Archivists, librarians and related information professionals,United States,2009 ,0
Total,Percentage,Archivists, librarians and related information professionals,United States,2006 ,0.15
Total,Percentage,Social science and related professionals,Bulgaria,2009 ,1.11
Total,Percentage,Social science and related professionals,Bulgaria,2006 ,1.71
Total,Percentage,Social science and related professionals,Cyprus,2009 ,0
Total,Percentage,Social science and related professionals,Cyprus,2006 ,1.38
Total,Percentage,Social science and related professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Social science and related professionals,Germany (until 1990 former territory of the FRG),2006 ,3.29
Total,Percentage,Social science and related professionals,Denmark,2009 ,0
Total,Percentage,Social science and related professionals,Denmark,2006 ,3.12
Total,Percentage,Social science and related professionals,Estonia,2009 ,0
Total,Percentage,Social science and related professionals,Estonia,2006 ,6.94
Total,Percentage,Social science and related professionals,Croatia,2009 ,6.75
Total,Percentage,Social science and related professionals,Croatia,2006 ,5.69
Total,Percentage,Social science and related professionals,Iceland,2009 ,0
Total,Percentage,Social science and related professionals,Iceland,2006 ,3.51
Total,Percentage,Social science and related professionals,Lithuania,2009 ,0
Total,Percentage,Social science and related professionals,Lithuania,2006 ,3.86
Total,Percentage,Social science and related professionals,Latvia,2009 ,23.22
Total,Percentage,Social science and related professionals,Latvia,2006 ,18.87
Total,Percentage,Social science and related professionals,Norway,2009 ,0
Total,Percentage,Social science and related professionals,Norway,2006 ,1.25
Total,Percentage,Social science and related professionals,Poland,2009 ,3.28
Total,Percentage,Social science and related professionals,Poland,2006 ,0
Total,Percentage,Social science and related professionals,Portugal,2009 ,0
Total,Percentage,Social science and related professionals,Portugal,2006 ,1.05
Total,Percentage,Social science and related professionals,Sweden,2009 ,0
Total,Percentage,Social science and related professionals,Sweden,2006 ,2.15
Total,Percentage,Social science and related professionals,United States,2009 ,0
Total,Percentage,Social science and related professionals,United States,2006 ,11.94
Total,Percentage,Writers and creative or performing artists,Bulgaria,2009 ,0.58
Total,Percentage,Writers and creative or performing artists,Bulgaria,2006 ,0.62
Total,Percentage,Writers and creative or performing artists,Cyprus,2009 ,0
Total,Percentage,Writers and creative or performing artists,Cyprus,2006 ,0.59
Total,Percentage,Writers and creative or performing artists,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Writers and creative or performing artists,Germany (until 1990 former territory of the FRG),2006 ,1.57
Total,Percentage,Writers and creative or performing artists,Denmark,2009 ,0
Total,Percentage,Writers and creative or performing artists,Denmark,2006 ,0.13
Total,Percentage,Writers and creative or performing artists,Estonia,2009 ,0
Total,Percentage,Writers and creative or performing artists,Estonia,2006 ,0.58u
Total,Percentage,Writers and creative or performing artists,Croatia,2009 ,0.41
Total,Percentage,Writers and creative or performing artists,Croatia,2006 ,0.48
Total,Percentage,Writers and creative or performing artists,Iceland,2009 ,0
Total,Percentage,Writers and creative or performing artists,Iceland,2006 ,0.24
Total,Percentage,Writers and creative or performing artists,Lithuania,2009 ,0
Total,Percentage,Writers and creative or performing artists,Lithuania,2006 ,0.46
Total,Percentage,Writers and creative or performing artists,Latvia,2009 ,0.13
Total,Percentage,Writers and creative or performing artists,Latvia,2006 ,0.49
Total,Percentage,Writers and creative or performing artists,Norway,2009 ,0
Total,Percentage,Writers and creative or performing artists,Norway,2006 ,0.07
Total,Percentage,Writers and creative or performing artists,Poland,2009 ,0.56
Total,Percentage,Writers and creative or performing artists,Poland,2006 ,0
Total,Percentage,Writers and creative or performing artists,Portugal,2009 ,0
Total,Percentage,Writers and creative or performing artists,Portugal,2006 ,0
Total,Percentage,Writers and creative or performing artists,Sweden,2009 ,0
Total,Percentage,Writers and creative or performing artists,Sweden,2006 ,0.51
Total,Percentage,Writers and creative or performing artists,United States,2009 ,0
Total,Percentage,Writers and creative or performing artists,United States,2006 ,0.74
Total,Percentage,Religious professionals,Bulgaria,2009 ,0
Total,Percentage,Religious professionals,Bulgaria,2006 ,0
Total,Percentage,Religious professionals,Cyprus,2009 ,0
Total,Percentage,Religious professionals,Cyprus,2006 ,0.39
Total,Percentage,Religious professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Religious professionals,Germany (until 1990 former territory of the FRG),2006 ,0.2
Total,Percentage,Religious professionals,Denmark,2009 ,0
Total,Percentage,Religious professionals,Denmark,2006 ,0.14
Total,Percentage,Religious professionals,Estonia,2009 ,0
Total,Percentage,Religious professionals,Estonia,2006 ,0u
Total,Percentage,Religious professionals,Croatia,2009 ,0.35
Total,Percentage,Religious professionals,Croatia,2006 ,0
Total,Percentage,Religious professionals,Lithuania,2009 ,0
Total,Percentage,Religious professionals,Lithuania,2006 ,0
Total,Percentage,Religious professionals,Latvia,2009 ,0
Total,Percentage,Religious professionals,Latvia,2006 ,0.17
Total,Percentage,Religious professionals,Norway,2009 ,0
Total,Percentage,Religious professionals,Norway,2006 ,0.07
Total,Percentage,Religious professionals,Poland,2009 ,0.51
Total,Percentage,Religious professionals,Poland,2006 ,0
Total,Percentage,Religious professionals,Portugal,2009 ,0
Total,Percentage,Religious professionals,Portugal,2006 ,0.04
Total,Percentage,Religious professionals,Sweden,2009 ,0
Total,Percentage,Religious professionals,Sweden,2006 ,0.36
Total,Percentage,Religious professionals,United States,2009 ,0
Total,Percentage,Religious professionals,United States,2006 ,0.15
Total,Percentage,Scientific administration employees,Bulgaria,2009 ,0
Total,Percentage,Scientific administration employees,Bulgaria,2006 ,24.6
Total,Percentage,Other occupations,Bulgaria,2009 ,0
Total,Percentage,Other occupations,Bulgaria,2006 ,1.84
Total,Percentage,Other occupations,Cyprus,2009 ,0
Total,Percentage,Other occupations,Cyprus,2006 ,0.39
Total,Percentage,Other occupations,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Other occupations,Germany (until 1990 former territory of the FRG),2006 ,13.16
Total,Percentage,Other occupations,Denmark,2009 ,0
Total,Percentage,Other occupations,Denmark,2006 ,5.15
Total,Percentage,Other occupations,Estonia,2009 ,0
Total,Percentage,Other occupations,Estonia,2006 ,3u
Total,Percentage,Other occupations,Croatia,2009 ,0.41
Total,Percentage,Other occupations,Croatia,2006 ,0.23
Total,Percentage,Other occupations,Iceland,2009 ,0
Total,Percentage,Other occupations,Iceland,2006 ,0.49
Total,Percentage,Other occupations,Lithuania,2009 ,0
Total,Percentage,Other occupations,Lithuania,2006 ,0.64
Total,Percentage,Other occupations,Latvia,2009 ,2.95
Total,Percentage,Other occupations,Latvia,2006 ,2.67
Total,Percentage,Other occupations,Netherlands,2009 ,0
Total,Percentage,Other occupations,Netherlands,2006 ,18.75
Total,Percentage,Other occupations,Norway,2009 ,0
Total,Percentage,Other occupations,Norway,2006 ,6.74
Total,Percentage,Other occupations,Poland,2009 ,2.83
Total,Percentage,Other occupations,Poland,2006 ,0
Total,Percentage,Other occupations,Portugal,2009 ,0
Total,Percentage,Other occupations,Portugal,2006 ,0.81
Total,Percentage,Other occupations,Sweden,2009 ,0
Total,Percentage,Other occupations,Sweden,2006 ,17.43
Total,Percentage,Other occupations,United States,2009 ,0
Total,Percentage,Other occupations,United States,2006 ,2.43
Total,Percentage,Unknown,Bulgaria,2009 ,1.91
Total,Percentage,Unknown,Bulgaria,2006 ,0
Total,Percentage,Unknown,Norway,2009 ,0
Total,Percentage,Unknown,Norway,2006 ,27.01
Total,Percentage,Unknown,Poland,2009 ,11.36
Total,Percentage,Unknown,Poland,2006 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Austria,2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Austria,2006 ,13.2
1990 and after,Percentage,Legislators, senior officials and managers,Bulgaria,2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Bulgaria,2006 ,6.5
1990 and after,Percentage,Legislators, senior officials and managers,Cyprus,2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Cyprus,2006 ,18.35
1990 and after,Percentage,Legislators, senior officials and managers,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Germany (until 1990 former territory of the FRG),2006 ,3.75
1990 and after,Percentage,Legislators, senior officials and managers,Denmark,2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Denmark,2006 ,10.6
1990 and after,Percentage,Legislators, senior officials and managers,Estonia,2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Estonia,2006 ,7.76
1990 and after,Percentage,Legislators, senior officials and managers,Spain,2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Spain,2006 ,1.62
1990 and after,Percentage,Legislators, senior officials and managers,Italy,2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Italy,2006 ,4.69
1990 and after,Percentage,Legislators, senior officials and managers,Lithuania,2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Lithuania,2006 ,4.04
1990 and after,Percentage,Legislators, senior officials and managers,Latvia,2009 ,16.99
1990 and after,Percentage,Legislators, senior officials and managers,Latvia,2006 ,11.78
1990 and after,Percentage,Legislators, senior officials and managers,Netherlands,2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Netherlands,2006 ,11.36
1990 and after,Percentage,Legislators, senior officials and managers,Portugal,2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,Portugal,2006 ,2.65
1990 and after,Percentage,Legislators, senior officials and managers,United States,2009 ,0
1990 and after,Percentage,Legislators, senior officials and managers,United States,2006 ,6.46
1990 and after,Percentage,Professionals,Austria,2009 ,0
1990 and after,Percentage,Professionals,Austria,2006 ,70.41
1990 and after,Percentage,Professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Professionals,Bulgaria,2006 ,92.31
1990 and after,Percentage,Professionals,Cyprus,2009 ,0
1990 and after,Percentage,Professionals,Cyprus,2006 ,81.35
1990 and after,Percentage,Professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Professionals,Germany (until 1990 former territory of the FRG),2006 ,83.22
1990 and after,Percentage,Professionals,Denmark,2009 ,0
1990 and after,Percentage,Professionals,Denmark,2006 ,84.3
1990 and after,Percentage,Professionals,Estonia,2009 ,0
1990 and after,Percentage,Professionals,Estonia,2006 ,90.33
1990 and after,Percentage,Professionals,Spain,2009 ,0
1990 and after,Percentage,Professionals,Spain,2006 ,94.58
1990 and after,Percentage,Professionals,Italy,2009 ,0
1990 and after,Percentage,Professionals,Italy,2006 ,81.99
1990 and after,Percentage,Professionals,Lithuania,2009 ,0
1990 and after,Percentage,Professionals,Lithuania,2006 ,95.56
1990 and after,Percentage,Professionals,Latvia,2009 ,81.42
1990 and after,Percentage,Professionals,Latvia,2006 ,85.66
1990 and after,Percentage,Professionals,Netherlands,2009 ,0
1990 and after,Percentage,Professionals,Netherlands,2006 ,68.18
1990 and after,Percentage,Professionals,Portugal,2009 ,0
1990 and after,Percentage,Professionals,Portugal,2006 ,96.38
1990 and after,Percentage,Professionals,United States,2009 ,0
1990 and after,Percentage,Professionals,United States,2006 ,91.37
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Austria,2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Austria,2006 ,19.85
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Bulgaria,2006 ,9.42
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Cyprus,2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Cyprus,2006 ,10.4
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Germany (until 1990 former territory of the FRG),2006 ,23.46
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Denmark,2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Denmark,2006 ,21.4
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Estonia,2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Estonia,2006 ,20.03
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Spain,2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Spain,2006 ,9.35
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Italy,2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Italy,2006 ,9.72
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Lithuania,2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Lithuania,2006 ,20.49
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Latvia,2009 ,4.21
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Latvia,2006 ,8.48
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Netherlands,2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Netherlands,2006 ,11.36
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Portugal,2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,Portugal,2006 ,7.96
1990 and after,Percentage,Physical, mathematical and engineering science professionals,United States,2009 ,0
1990 and after,Percentage,Physical, mathematical and engineering science professionals,United States,2006 ,26.5
1990 and after,Percentage,Physicists, chemists and related professionals,Austria,2009 ,0
1990 and after,Percentage,Physicists, chemists and related professionals,Austria,2006 ,10.55
1990 and after,Percentage,Physicists, chemists and related professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Physicists, chemists and related professionals,Bulgaria,2006 ,5.33
1990 and after,Percentage,Physicists, chemists and related professionals,Cyprus,2009 ,0
1990 and after,Percentage,Physicists, chemists and related professionals,Cyprus,2006 ,3.06
1990 and after,Percentage,Physicists, chemists and related professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Physicists, chemists and related professionals,Germany (until 1990 former territory of the FRG),2006 ,7.43
1990 and after,Percentage,Physicists, chemists and related professionals,Denmark,2009 ,0
1990 and after,Percentage,Physicists, chemists and related professionals,Denmark,2006 ,9.5
1990 and after,Percentage,Physicists, chemists and related professionals,Estonia,2009 ,0
1990 and after,Percentage,Physicists, chemists and related professionals,Estonia,2006 ,15.87
1990 and after,Percentage,Physicists, chemists and related professionals,Spain,2009 ,0
1990 and after,Percentage,Physicists, chemists and related professionals,Spain,2006 ,6.14
1990 and after,Percentage,Physicists, chemists and related professionals,Lithuania,2009 ,0
1990 and after,Percentage,Physicists, chemists and related professionals,Lithuania,2006 ,11.52
1990 and after,Percentage,Physicists, chemists and related professionals,Latvia,2009 ,1.22
1990 and after,Percentage,Physicists, chemists and related professionals,Latvia,2006 ,3.62
1990 and after,Percentage,Physicists, chemists and related professionals,Portugal,2009 ,0
1990 and after,Percentage,Physicists, chemists and related professionals,Portugal,2006 ,6.19
1990 and after,Percentage,Physicists, chemists and related professionals,United States,2009 ,0
1990 and after,Percentage,Physicists, chemists and related professionals,United States,2006 ,7.89
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Austria,2009 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Austria,2006 ,1.96
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Bulgaria,2006 ,0.18
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Cyprus,2009 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Cyprus,2006 ,1.22
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Denmark,2009 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Denmark,2006 ,2.8
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Estonia,2009 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Estonia,2006 ,0.46
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Spain,2009 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Spain,2006 ,0.4
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Lithuania,2009 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Lithuania,2006 ,2.15
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Latvia,2009 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Latvia,2006 ,1.31
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Portugal,2009 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,Portugal,2006 ,0.29
1990 and after,Percentage,Mathematicians, statisticians and related professionals,United States,2009 ,0
1990 and after,Percentage,Mathematicians, statisticians and related professionals,United States,2006 ,1.87
1990 and after,Percentage,Computing professionals,Austria,2009 ,0
1990 and after,Percentage,Computing professionals,Austria,2006 ,3.77
1990 and after,Percentage,Computing professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Computing professionals,Bulgaria,2006 ,0.07
1990 and after,Percentage,Computing professionals,Cyprus,2009 ,0
1990 and after,Percentage,Computing professionals,Cyprus,2006 ,1.53
1990 and after,Percentage,Computing professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Computing professionals,Germany (until 1990 former territory of the FRG),2006 ,2.92
1990 and after,Percentage,Computing professionals,Denmark,2009 ,0
1990 and after,Percentage,Computing professionals,Denmark,2006 ,3.3
1990 and after,Percentage,Computing professionals,Estonia,2009 ,0
1990 and after,Percentage,Computing professionals,Estonia,2006 ,0.46
1990 and after,Percentage,Computing professionals,Spain,2009 ,0
1990 and after,Percentage,Computing professionals,Spain,2006 ,0.61
1990 and after,Percentage,Computing professionals,Lithuania,2009 ,0
1990 and after,Percentage,Computing professionals,Lithuania,2006 ,3.16
1990 and after,Percentage,Computing professionals,Latvia,2009 ,1.28
1990 and after,Percentage,Computing professionals,Latvia,2006 ,1.06
1990 and after,Percentage,Computing professionals,Portugal,2009 ,0
1990 and after,Percentage,Computing professionals,Portugal,2006 ,0.2
1990 and after,Percentage,Computing professionals,United States,2009 ,0
1990 and after,Percentage,Computing professionals,United States,2006 ,5.14
1990 and after,Percentage,Architects, engineers and related professionals,Austria,2009 ,0
1990 and after,Percentage,Architects, engineers and related professionals,Austria,2006 ,3.57
1990 and after,Percentage,Architects, engineers and related professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Architects, engineers and related professionals,Bulgaria,2006 ,3.84
1990 and after,Percentage,Architects, engineers and related professionals,Cyprus,2009 ,0
1990 and after,Percentage,Architects, engineers and related professionals,Cyprus,2006 ,4.59
1990 and after,Percentage,Architects, engineers and related professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Architects, engineers and related professionals,Germany (until 1990 former territory of the FRG),2006 ,12.43
1990 and after,Percentage,Architects, engineers and related professionals,Denmark,2009 ,0
1990 and after,Percentage,Architects, engineers and related professionals,Denmark,2006 ,5.8
1990 and after,Percentage,Architects, engineers and related professionals,Estonia,2009 ,0
1990 and after,Percentage,Architects, engineers and related professionals,Estonia,2006 ,3.24
1990 and after,Percentage,Architects, engineers and related professionals,Spain,2009 ,0
1990 and after,Percentage,Architects, engineers and related professionals,Spain,2006 ,2.2
1990 and after,Percentage,Architects, engineers and related professionals,Lithuania,2009 ,0
1990 and after,Percentage,Architects, engineers and related professionals,Lithuania,2006 ,3.66
1990 and after,Percentage,Architects, engineers and related professionals,Latvia,2009 ,1.7
1990 and after,Percentage,Architects, engineers and related professionals,Latvia,2006 ,2.49
1990 and after,Percentage,Architects, engineers and related professionals,Portugal,2009 ,0
1990 and after,Percentage,Architects, engineers and related professionals,Portugal,2006 ,1.28
1990 and after,Percentage,Architects, engineers and related professionals,United States,2009 ,0
1990 and after,Percentage,Architects, engineers and related professionals,United States,2006 ,11.6
1990 and after,Percentage,Life science and health professionals,Austria,2009 ,0
1990 and after,Percentage,Life science and health professionals,Austria,2006 ,9.15
1990 and after,Percentage,Life science and health professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Life science and health professionals,Bulgaria,2006 ,6.82
1990 and after,Percentage,Life science and health professionals,Cyprus,2009 ,0
1990 and after,Percentage,Life science and health professionals,Cyprus,2006 ,14.68
1990 and after,Percentage,Life science and health professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Life science and health professionals,Germany (until 1990 former territory of the FRG),2006 ,34.14
1990 and after,Percentage,Life science and health professionals,Denmark,2009 ,0
1990 and after,Percentage,Life science and health professionals,Denmark,2006 ,33.1
1990 and after,Percentage,Life science and health professionals,Estonia,2009 ,0
1990 and after,Percentage,Life science and health professionals,Estonia,2006 ,28.78
1990 and after,Percentage,Life science and health professionals,Spain,2009 ,0
1990 and after,Percentage,Life science and health professionals,Spain,2006 ,24.7
1990 and after,Percentage,Life science and health professionals,Italy,2009 ,0
1990 and after,Percentage,Life science and health professionals,Italy,2006 ,7.1
1990 and after,Percentage,Life science and health professionals,Lithuania,2009 ,0
1990 and after,Percentage,Life science and health professionals,Lithuania,2006 ,21.48
