y_grad,fos07,unit,geo,year,value
1990 and after,Not specified,Percentage,Austria,2006 ,0.0
1990 and after,Not specified,Percentage,Belgium,2009 ,5.80
1990 and after,Not specified,Percentage,Belgium,2006 ,0
1990 and after,Not specified,Percentage,Bulgaria,2009 ,0
1990 and after,Not specified,Percentage,Bulgaria,2006 ,0.0
1990 and after,Not specified,Percentage,Cyprus,2009 ,0
1990 and after,Not specified,Percentage,Cyprus,2006 ,0.0
1990 and after,Not specified,Percentage,Germany (until 1990 former territory of the FRG),2009 ,0.0
1990 and after,Not specified,Percentage,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Not specified,Percentage,Denmark,2009 ,0.0
1990 and after,Not specified,Percentage,Denmark,2006 ,0.0
1990 and after,Not specified,Percentage,Estonia,2009 ,0
1990 and after,Not specified,Percentage,Estonia,2006 ,0.0
1990 and after,Not specified,Percentage,Spain,2009 ,0.0
1990 and after,Not specified,Percentage,Spain,2006 ,0.0
1990 and after,Not specified,Percentage,Finland,2009 ,0.0
1990 and after,Not specified,Percentage,Finland,2006 ,0
1990 and after,Not specified,Percentage,Italy,2009 ,0
1990 and after,Not specified,Percentage,Italy,2006 ,0.0
1990 and after,Not specified,Percentage,Lithuania,2009 ,0
1990 and after,Not specified,Percentage,Lithuania,2006 ,0.0
1990 and after,Not specified,Percentage,Latvia,2009 ,0.0
1990 and after,Not specified,Percentage,Latvia,2006 ,0.0
1990 and after,Not specified,Percentage,Netherlands,2009 ,0.0
1990 and after,Not specified,Percentage,Netherlands,2006 ,0
1990 and after,Not specified,Percentage,Portugal,2009 ,0
1990 and after,Not specified,Percentage,Portugal,2006 ,0.0
1990 and after,Not specified,Percentage,United States,2009 ,0.0
1990 and after,Not specified,Percentage,United States,2006 ,0.0
1990 and after,Total,Percentage,Austria,2009 ,0
1990 and after,Total,Percentage,Austria,2006 ,100.0
1990 and after,Total,Percentage,Belgium,2009 ,100.0
1990 and after,Total,Percentage,Belgium,2006 ,0
1990 and after,Total,Percentage,Bulgaria,2009 ,0
1990 and after,Total,Percentage,Bulgaria,2006 ,100.0
1990 and after,Total,Percentage,Cyprus,2009 ,0
1990 and after,Total,Percentage,Cyprus,2006 ,100.0
1990 and after,Total,Percentage,Germany (until 1990 former territory of the FRG),2009 ,100.0
1990 and after,Total,Percentage,Germany (until 1990 former territory of the FRG),2006 ,100.0
1990 and after,Total,Percentage,Denmark,2009 ,100.0
1990 and after,Total,Percentage,Denmark,2006 ,100.0
1990 and after,Total,Percentage,Estonia,2009 ,0
1990 and after,Total,Percentage,Estonia,2006 ,100.0
1990 and after,Total,Percentage,Spain,2009 ,100.0
1990 and after,Total,Percentage,Spain,2006 ,100.0
1990 and after,Total,Percentage,Finland,2009 ,100.0
1990 and after,Total,Percentage,Finland,2006 ,0
1990 and after,Total,Percentage,Italy,2009 ,0
1990 and after,Total,Percentage,Italy,2006 ,100.0
1990 and after,Total,Percentage,Lithuania,2009 ,0
1990 and after,Total,Percentage,Lithuania,2006 ,100.0
1990 and after,Total,Percentage,Latvia,2009 ,100.0
1990 and after,Total,Percentage,Latvia,2006 ,0
1990 and after,Total,Percentage,Netherlands,2009 ,100.0
1990 and after,Total,Percentage,Netherlands,2006 ,0
1990 and after,Total,Percentage,Portugal,2009 ,0
1990 and after,Total,Percentage,Portugal,2006 ,100.0
1990 and after,Total,Percentage,United States,2009 ,100.0
1990 and after,Total,Percentage,United States,2006 ,100.0
