,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
51582,Facebook,Argentina,South America,South America,25-29,27,Male,Programmer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"More than $200,000",210000,,Android; AngularJS; Java; JavaScript; MongoDB; SQL,Android; AngularJS; Java; JavaScript; MongoDB; SQL,Yes,9,Freelance / Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51603,Facebook,Argentina,South America,South America,40-49,44.5,Male,Developer; Programmer; Manager,Engineering manager,Engineering manager,11+ years,13,"$70,000 - $80,000",75000,,JavaScript; Node.js; Python; R,Node.js; Python; R,No,7,Employed full-time,Other (please specify),"10,000+ employees",20+ people,11+,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by external recruiter,Sublime; Eclipse; RStudio; Visual Studio Code,Multiple times a day,5-10 hours per week,Cats,Mac OS X,Yes,I'm not sure,Once a day,I'm curious,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Opportunity for advancement; Building something that's significant,Searching for a job that seems interesting,50%,interview_coffee,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree somewhat,Neutral,Neutral,Neutral,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,Inefficient development processes; Fragile code base; Unrealistic expectations; Corporate policies; Outdated technologies,To get help for my job; To give help to others; To communicate with others like me; Beacause I love to learn
51624,Facebook,Argentina,South America,South America,25-29,27,Male,Developer; Programmer,Mobile developer,"Mobile Dev (Android, iOS, WP & Multi-Platform)",Less than 1 year,0.5,"$10,000 - $20,000",15000,,AngularJS; JavaScript; Windows Phone,AngularJS; Haskell; JavaScript; MongoDB; SQL Server,Yes,5,Employed full-time,Software Products,20-99 employees,5-9 people,0,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Sublime; Visual Studio,A couple times a week,None,Cats,Windows 8,Yes,I'm not sure,Multiple times a day,I want to be a better developer,"On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Remote working option; Flexible work hours,Writing my CV and keeping it updated,10%,Offer remote interviews (e.g. via video conference); interview_coffee; Show me the space in which I will work,Star Wars,Neutral,Neutral,Agree completely,Agree completely,Agree completely,Disagree completely,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,Poor documentation; Changing requirements,To get help for my job; To receive help on my personal projects; Beacause I love to learn
51643,Facebook,Argentina,South America,South America,25-29,27,Male,Developer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8,"$10,000 - $20,000",15000,,"Cloud (AWS, GAE, Azure, etc.); JavaScript; PHP; WordPress",Go,Yes,6,Employed full-time,Software Products,5-9 employees,5-9 people,2,Part-time remote,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Sublime,Multiple times a day,20+ hours per week,Cats,Windows 7,Yes,1,Once a day,I'm curious,I'm self-taught,I am not interested in new job opportunities,Salary; Industry; Tech stack; Company size; Work/life balance; Opportunity for advancement; Company culture; Building something that's significant; Remote working option; Flexible work hours,Writing my CV and keeping it updated,40%,Show me more live code; interview_coffee; Show me the space in which I will work,,,,,,,,,,,,,,,,,,,,,,,
51945,Facebook,Argentina,South America,South America,25-29,27,Male,Developer; Programmer,Back-end web developer,Back-end web developer,6 - 10 years,8,"$10,000 - $20,000",15000,,Java,AngularJS; JavaScript; Node.js; ReactJS; Ruby; Scala,Yes,7,Employed full-time,Consumer Products,"5,000-9,999 employees",10-14 people,0,Part-time remote,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Sublime; Eclipse; IntelliJ,Once a day,2-5 hours per week,Dogs,Debian,Yes,1,Very rarely,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Company size; Company financials; Work/life balance; Office location; Company culture; Remote working option; Flexible work hours,Writing cover letters,50%,Offer remote interviews (e.g. via video conference); Show me the space in which I will work,Star Wars,Neutral,Agree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Agree somewhat,Agree completely,Neutral,Agree completely,This is very important,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,This is very important,I don't care about this,Corporate policies; Outdated technologies; Non-technical management; Interacting with non-technical people; Interacting with stupid people,To discover new job opportunities; To communicate with others like me; Beacause I love to learn
52001,Facebook,Argentina,South America,South America,25-29,27,Male,Programmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52181,Facebook,Argentina,South America,South America,30-34,32,Male,Developer; Programmer; Sr. Developer; Ninja; Full-stack Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52319,Facebook,Argentina,South America,South America,25-29,27,,Programmer; Rockstar,other,,2 - 5 years,3.5,"$20,000 - $30,000",25000,,Android; Arduino / Raspberry Pi; AngularJS; Java; JavaScript; Salesforce; Scala,Go; Node.js; ReactJS; Scala,Yes,10,Employed full-time,Software Products,500-999 employees,10-14 people,0,I rarely work remotely,I love my job,A friend referred me,Sublime; Vim; Android Studio; Eclipse; IntelliJ,Multiple times a day,Other (please specify),Dogs,Mac OS X,Yes,I'm not sure,Once a month,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Ability to make or influence important decisions; Health insurance; Quality of colleagues; Company reputation; Building something that's significant; Building something that's innovative,Other (please specify),Other (please specify),Introduce me to the boss; Introduce me to the team; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Neutral,Agree somewhat,Agree completely,Agree somewhat,Agree completely,This is somewhat important,This is very important,,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is very important,I don't care about this,I don't care about this,Unrealistic expectations; Changing requirements; Unspecific requirements; Limited resources,To get help for my job; To give help to others
52487,Facebook,Argentina,South America,South America,35-39,37,Male,Developer; Engineer; Full-stack Developer,other,,,,,,,"C#; Cloud (AWS, GAE, Azure, etc.); Hadoop; JavaScript; Node.js; Redis; Spark; SQL; SQL Server; Windows Phone","AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); Hadoop; iOS; JavaScript; Node.js; Redis; Scala; Spark; Swift",,9,Employed full-time,Software Products,10-19 employees,5-9 people,1,Part-time remote,I love my job,I knew I wanted to work here. I sought out the opportunity directly,Sublime; Visual Studio; Visual Studio Code,Multiple times a day,2-5 hours per week,Dogs,Windows 10,Yes,"501 - 1,000",Once a day,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Industry; Tech stack; Work/life balance; Company culture; Flexible work hours; Building something that's innovative,The interview process,,Show me more live code; Introduce me to the boss; Fewer brainteasers,Star Wars,Agree completely,Agree completely,Agree completely,Agree completely,Neutral,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree completely,Disagree somewhat,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,,
52959,Facebook,Argentina,South America,South America,20-24,22,Male,Developer; Engineer; Programmer; Rockstar,Database administrator,Database administrator,2 - 5 years,3.5,"Less than $10,000",5000,,PHP; SQL Server,PHP; SQL Server,No,7,Employed part-time,Finance / Banking,20-99 employees,1-4 people,0,I rarely work remotely,I love my job,A friend referred me,Notepad++,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",None,Dogs,Windows 8,Yes,2 - 100,Once a week,I learn new technology when my job requires it,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Office location; Company culture; Flexible work hours,Writing my CV and keeping it updated,60%,Introduce me to the boss; Introduce me to the team; Show me the space in which I will work,Star Wars,Agree completely,Neutral,Agree completely,Agree somewhat,Agree somewhat,Disagree completely,Agree completely,Disagree completely,Disagree completely,Disagree completely,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,Poor documentation,To get help for my job
52989,Facebook,Argentina,South America,South America,20-24,22,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53020,Facebook,Argentina,South America,South America,30-34,32,Male,Developer; Engineer; Programmer; Sr. Developer; Manager; Guru; Expert; Full-stack Developer; Full Stack Overflow Developer,Engineering manager,Engineering manager,11+ years,13,"$30,000 - $40,000",35000,,Android; Arduino / Raspberry Pi; AngularJS; C++; C#; Cordova; JavaScript; Node.js; PHP; SQL; SQL Server,Android; Arduino / Raspberry Pi; AngularJS; C++; C#; Cordova; JavaScript; MongoDB; Node.js; PHP; Scala; SQL,Other (please specify),9,Employed full-time,Finance / Banking,"5,000-9,999 employees",5-9 people,2,Full-time remote,I love my job,I knew I wanted to work here. I sought out the opportunity directly,Notepad++; Vim; Android Studio; Visual Studio,Once a day,20+ hours per week,Dogs,Other Linux,Yes,"1,001 - 5,000",Multiple times a day,To build a specific product I have in mind,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program",I am actively looking for a new job,Salary; Equity; Ability to make or influence important decisions; Tech stack; Company stage; Work/life balance; Opportunity for advancement; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Remote working option; Building something that's innovative,Taking time off work to interview,80%,Show me more live code; Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the boss; Introduce me to the team; interview_coffee,Star Trek,Agree completely,Agree completely,Agree completely,Neutral,Agree completely,Disagree completely,Agree completely,Agree somewhat,Disagree completely,Neutral,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is very important,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Poor documentation; Outdated technologies; Non-technical management; Interacting with non-technical people; Interacting with stupid people; Poor infrastructure or equipment; Limited resources,To give help to others; To demonstrate that I'm good at what I do; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
53083,Facebook,Argentina,South America,South America,30-34,32,Male,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,Front-end web developer,Front-end web developer,6 - 10 years,8,"$20,000 - $30,000",25000,,AngularJS; JavaScript; LAMP; PHP,AngularJS; JavaScript; LAMP; Node.js; PHP; Ruby,Yes,6,Employed full-time,Consumer Products,"1,000-4,999 employees",5-9 people,0,I rarely work remotely,I love my job,Contacted by company (in-house recruiter),Sublime; Vim,Multiple times a day,5-10 hours per week,Dogs,Ubuntu,I don't know,I don't have an account,Multiple times a day,I learn new technology when my job requires it,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)",I am not interested in new job opportunities,Salary; Health insurance; Industry; Tech stack; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Company reputation; Flexible work hours; Building something that's innovative,The interview process,50%,Fewer brainteasers,,Agree somewhat,Neutral,Agree somewhat,Agree somewhat,Neutral,Disagree completely,Neutral,Neutral,Neutral,Neutral,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Poor team dynamics; Inefficient development processes; Corporate policies,To get help for my job
2498,Facebook,Armenia,Western Asia,Eastern Europe,< 20,16,Male,Developer; Engineer; Programmer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"Less than $10,000",5000,,Arduino / Raspberry Pi; C; C++; C#; PHP; SQL; Visual Basic,JavaScript; Python,Yes,6,Self-employed,Manufacturing,1-4 employees,1-4 people,0,Never,I love my job,Facebook,Atom; Notepad++; Visual Studio,Multiple times a day,20+ hours per week,Dogs,Windows 10,No,2 - 100,Multiple times a day,I want to be a better developer,I'm self-taught,I am actively looking for a new job,Health insurance; Industry; Company stage; Company financials; Office location; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Flexible work hours,Writing my CV and keeping it updated,100%,Show me more live code; Introduce me to the boss; Introduce me to the team; Prepare me for who I will be speaking with,Star Wars,Agree completely,Agree completely,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree completely,Agree completely,Agree completely,Disagree completely,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,Poor scheduling; Unrealistic expectations; Poor documentation; Interacting with stupid people; Changing requirements; Unspecific requirements; Limited resources,To get help for my job
21769,Facebook,Armenia,Western Asia,Eastern Europe,25-29,27,Male,Engineer,Machine learning developer,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",Less than 1 year,0.5,,,,Python,Python; R; Spark,No,2,Unemployed,,,,,,,,Notepad++; IPython / Jupyter,Once a day,None,,Windows 8,I don't know,I don't have an account,Multiple times a day,To build a specific product I have in mind,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Work/life balance; Opportunity for advancement; Company culture; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,Searching for a job that seems interesting,50%,Offer remote interviews (e.g. via video conference); Introduce me to the boss,,Agree somewhat,Neutral,Agree somewhat,Agree completely,Neutral,Disagree completely,Neutral,Disagree somewhat,Neutral,Neutral,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,,To receive help on my personal projects; Beacause I love to learn
28436,Facebook,Armenia,Western Asia,Eastern Europe,20-24,22,Male,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Ninja; Full-stack Developer,Enterprise level services developer,Enterprise level services developer,6 - 10 years,8,"$130,000 - $140,000",135000,,Dart; Go; Java; Python; R; Scala,Go; Java; MATLAB; Python; R; Rust,Yes,10,Self-employed,Finance / Banking,I am not part of a company,1-4 people,1,Never,I don't have a job,Self-employed - I created my own job,Sublime; IntelliJ; PyCharm,Once a day,10-20 hours per week,Dogs,Mac OS X,Yes,"1,001 - 5,000",Very rarely,I want to be a better developer,I'm self-taught,I am not interested in new job opportunities,,Finding time to search for a job,100%,Show me more live code,Star Wars; Star Trek,Agree completely,Agree completely,Agree completely,Agree completely,Agree somewhat,Neutral,Agree completely,Agree somewhat,Disagree somewhat,Disagree completely,This is very important,This is very important,This is somewhat important,This is very important,This is very important,,,,,This is very important,Poor team dynamics; Inefficient development processes; Unrealistic expectations; Outdated technologies; Non-technical management; Interacting with stupid people,To get help for my job; To demonstrate that I'm good at what I do; To communicate with others like me; To receive help on my personal projects
28843,Facebook,Armenia,Western Asia,Eastern Europe,< 20,16,Male,Developer; Engineer; Programmer; Rockstar; Ninja; Full-stack Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31548,Facebook,Armenia,Western Asia,Eastern Europe,< 20,16,Male,Programmer,Mobile developer - Android,"Mobile Dev (Android, iOS, WP & Multi-Platform)",1 - 2 years,1.5,"Less than $10,000",5000,,Android; Java,Android; C++; Node.js,No,7,Freelance / Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34101,Facebook,Armenia,Western Asia,Eastern Europe,20-24,22,Male,Developer,Front-end web developer,Front-end web developer,2 - 5 years,3.5,"$10,000 - $20,000",15000,,AngularJS; Clojure; JavaScript; Node.js; Redis; Ruby,AngularJS; Clojure; Hadoop; JavaScript; MongoDB; Node.js; Redis,Yes,8,Employed full-time,Internet,20-99 employees,1-4 people,2,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,NetBeans; RubyMine,Multiple times a day,20+ hours per week,Dogs,Windows 7,Yes,1,Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Job title; Quality of colleagues; Company culture; Remote working option; Flexible work hours; Building something that's innovative,Taking time off work to interview,30%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference),,Agree somewhat,Neutral,Agree completely,Agree completely,Agree completely,Neutral,Agree somewhat,Agree completely,Neutral,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is very important,This is very important,I don't care about this,This is somewhat important,Interacting with non-technical people; Changing requirements; Unspecific requirements,To get help for my job; To receive help on my personal projects; Beacause I love to learn
36712,Facebook,Armenia,Western Asia,Eastern Europe,Prefer not to disclose,,Prefer not to disclose,Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52574,Facebook,Armenia,Western Asia,Eastern Europe,< 20,16,Male,Developer,Mobile developer - Android,"Mobile Dev (Android, iOS, WP & Multi-Platform)",Less than 1 year,0.5,"Less than $10,000",5000,,Android; Python; R,Python; R,Yes,4,I'm a student,,,,,,,,Android Studio; IPython / Jupyter; RStudio,A few times a month,2-5 hours per week,Dogs,Windows 10,I don't know,I'm not sure,Once a day,I'm curious,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Company culture; Building something that's significant; Building something that's innovative,,0%,interview_coffee,,Agree somewhat,Neutral,Agree somewhat,Disagree somewhat,Agree completely,Disagree completely,Disagree somewhat,Neutral,Disagree somewhat,Disagree somewhat,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,,To receive help on my personal projects; Beacause I love to learn
52880,Facebook,Armenia,Western Asia,Eastern Europe,25-29,27,Male,Developer; Engineer; Programmer; Sr. Developer; Expert,Desktop developer,Desktop developer,6 - 10 years,8,"$20,000 - $30,000",25000,,C++; C#; JavaScript; SQL,C++; C#,Yes,10,Employed full-time,Finance / Banking,100-499 employees,1-4 people,1,I rarely work remotely,I'm neither satisfied nor dissatisfied,I knew I wanted to work here. I sought out the opportunity directly,Sublime; Vim; Visual Studio,A couple times a week,2-5 hours per week,Dogs,Windows 7,Yes,"10,001+",Multiple times a day,To build a specific product I have in mind,B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),I am actively looking for a new job,Salary; Equity; Health insurance; Work/life balance; Opportunity for advancement; Quality of colleagues; Company culture; Remote working option; Flexible work hours,Writing cover letters,100%,Offer remote interviews (e.g. via video conference),Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,Disagree completely,Neutral,Agree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,Inefficient development processes; Fragile code base; Poor documentation; Non-technical management; Unspecific requirements,To give help to others; whyso_onlinepresence; To demonstrate that I'm good at what I do; To communicate with others like me
53075,Facebook,Armenia,Western Asia,Eastern Europe,20-24,22,Male,Developer,Front-end web developer,Front-end web developer,2 - 5 years,3.5,"$10,000 - $20,000",15000,,AngularJS; JavaScript; Redis; Ruby,AngularJS; Hadoop; JavaScript; MongoDB; Node.js; Redis; Swift,Yes,8,Employed full-time,Web Services,20-99 employees,1-4 people,2,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Sublime; NetBeans,Multiple times a day,10-20 hours per week,Dogs,Windows 7,No,I'm not sure,Multiple times a day,To keep my skills up to date,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Facebook,Australia,Australia and New Zealand,Oceania,50-59,54.5,Male,Developer; Programmer,Developer with a statistics or mathematics background,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",11+ years,13,,,3.74,C#; SQL,C#; SQL,No,9,Employed full-time,Consulting,1-4 employees,1-4 people,1,I rarely work remotely,I love my job,Self-employed - I created my own job,Visual Studio,Once a day,1-2 hours per week,Dogs,Windows 10,Yes,,Once a week,I'm curious,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),I am not interested in new job opportunities,,,,,Star Trek,Agree completely,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree completely,Agree somewhat,Agree completely,Agree somewhat,Disagree somewhat,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,Changing requirements; Unspecific requirements; Limited resources,
1019,Facebook,Australia,Australia and New Zealand,Oceania,40-49,44.5,Male,Developer; Programmer; Sr. Developer; Guru; Expert,Full-stack web developer,Full-stack web developer,11+ years,13,"$70,000 - $80,000",75000,3.74,C#; JavaScript; SQL; SQL Server,"AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js; ReactJS; SQL; SQL Server",Yes,9,Employed full-time,Software Products,1-4 employees,1-4 people,0,I rarely work remotely,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Notepad++; Sublime; Visual Studio; Visual Studio Code,Multiple times a day,1-2 hours per week,Other (please specify),Windows 10,Yes,101 - 500,Once a day,I learn new technology when my job requires it,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Office location; Company culture; Building something that's significant,The interview process,80%,Introduce me to the team; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree completely,Neutral,Agree completely,Agree somewhat,Agree somewhat,Disagree somewhat,Neutral,Disagree somewhat,Disagree somewhat,Disagree somewhat,I don't care about this,This is very important,I don't care about this,This is very important,This is very important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,I don't care about this,Unrealistic expectations; Interacting with stupid people; Limited resources,To get help for my job; To demonstrate that I'm good at what I do
1024,Facebook,Australia,Australia and New Zealand,Oceania,50-59,54.5,Male,Sr. Developer; Manager; Expert; Full-stack Developer,Product manager,Product manager,,,"$100,000 - $110,000",105000,3.74,C#; JavaScript; SQL; SQL Server,AngularJS; Go; ReactJS,No,,Self-employed,Software Products,1-4 employees,1-4 people,0,Part-time remote,I'm somewhat satisfied with my job,Self-employed - I created my own job,Visual Studio; Visual Studio Code,Multiple times a day,2-5 hours per week,Dogs,Windows 7,Yes,101 - 500,Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training,I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Industry; Tech stack; Company stage; Company financials; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,The interview process,0%,Show me more live code; Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the team; Show me the space in which I will work; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Agree completely,Disagree completely,Agree completely,Agree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is very important,Corporate policies; Non-technical management; Interacting with stupid people,To get help for my job; To give help to others; Beacause I love to learn
1045,Facebook,Australia,Australia and New Zealand,Oceania,35-39,37,Male,Developer; Programmer,other,,11+ years,13,,,3.74,Android; C#; Java; PHP,Android; C#; PHP,Yes,8,Prefer not to disclose,Software Products,I am not sure,1-4 people,,I rarely work remotely,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Sublime; Android Studio; PhpStorm; Visual Studio,,,Cats,Windows 10,I don't know,2 - 100,Once a week,To keep my skills up to date,I'm self-taught; On-the-job training; B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Office location; Flexible work hours,Writing cover letters,40%,Be more flexible about interview scheduling; Introduce me to the team; Prepare me for who I will be speaking with,Star Trek,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,Agree somewhat,Neutral,Neutral,Neutral,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Unrealistic expectations; Corporate policies; Interacting with non-technical people,To get help for my job; To receive help on my personal projects; Beacause I love to learn
2753,Facebook,Australia,Australia and New Zealand,Oceania,> 60,65,Male,Developer,Full-stack web developer,Full-stack web developer,11+ years,13,"$50,000 - $60,000",55000,3.74,Android; Arduino / Raspberry Pi; JavaScript; Node.js; SQL,Android; Arduino / Raspberry Pi; C#; Hadoop; JavaScript,No,8,Freelance / Contractor,Software Products,1-4 employees,1-4 people,0,Full-time remote,I'm somewhat satisfied with my job,Self-employed - I created my own job,,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",5-10 hours per week,Dogs,Mint,I don't know,2 - 100,Once a week,I want to be a better developer,Industry certification program,I am not interested in new job opportunities,Remote working option,Writing cover letters,40%,Offer remote interviews (e.g. via video conference),Star Wars,Agree completely,Agree completely,Agree completely,Neutral,Disagree completely,Disagree completely,Disagree completely,Disagree somewhat,Disagree completely,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,Limited resources,To get help for my job
